Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
26.38,1.436,10.37213
26.39,1.437,10.3865
26.4,1.437,10.40087
26.41,1.437,10.41524
26.41,1.437,10.41524
26.42,1.437,10.42961
26.43,1.437,10.44398
26.44,1.438,10.45836
26.45,1.438,10.47274
26.46,1.438,10.48712
26.46,1.438,10.48712
26.47,1.438,10.5015
26.48,1.438,10.51588
26.49,1.438,10.53026
26.5,1.438,10.54464
26.5,1.438,10.54464
26.51,1.438,10.55902
26.52,1.438,10.5734
26.53,1.438,10.58778
26.54,1.437,10.60215
26.55,1.437,10.61652
26.56,1.437,10.63089
26.56,1.437,10.63089
26.57,1.437,10.64526
26.58,1.438,10.65964
26.59,1.438,10.67402
26.6,1.438,10.6884
26.61,1.438,10.70278
26.61,1.438,10.70278
26.62,1.438,10.71716
26.63,1.438,10.73154
26.64,1.437,10.74591
26.65,1.437,10.76028
26.66,1.437,10.77465
26.66,1.437,10.77465
26.67,1.437,10.78902
26.68,1.437,10.80339
26.69,1.437,10.81776
26.7,1.437,10.83213
26.71,1.437,10.8465
26.71,1.437,10.8465
26.72,1.437,10.86087
26.73,1.437,10.87524
26.74,1.436,10.8896
26.75,1.436,10.90396
26.76,1.436,10.91832
26.76,1.436,10.91832
26.77,1.437,10.93269
26.78,1.437,10.94706
26.79,1.437,10.96143
26.8,1.438,10.97581
26.81,1.438,10.99019
26.81,1.438,10.99019
26.82,1.439,11.00458
26.83,1.439,11.01897
26.84,1.439,11.03336
26.85,1.438,11.04774
26.86,1.438,11.06212
26.86,1.438,11.06212
26.87,1.438,11.0765
26.88,1.438,11.09088
26.89,1.438,11.10526
26.9,1.438,11.11964
26.91,1.439,11.13403
26.91,1.439,11.13403
26.92,1.439,11.14842
26.93,1.439,11.16281
26.94,1.439,11.1772
26.95,1.439,11.19159
26.96,1.439,11.20598
26.96,1.439,11.20598
26.97,1.439,11.22037
26.98,1.439,11.23476
26.99,1.439,11.24915
27,1.439,11.26354
27.01,1.439,11.27793
27.01,1.439,11.27793
27.02,1.439,11.29232
27.03,1.439,11.30671
27.04,1.439,11.3211
27.05,1.439,11.33549
27.06,1.439,11.34988
27.06,1.439,11.34988
27.07,1.439,11.36427
27.08,1.439,11.37866
27.09,1.44,11.39306
27.1,1.44,11.40746
27.11,1.44,11.42186
27.11,1.441,11.42186
27.12,1.441,11.43627
27.13,1.441,11.45068
27.14,1.441,11.46509
27.15,1.441,11.4795
27.16,1.441,11.49391
27.17,1.441,11.50832
27.17,1.441,11.50832
27.18,1.441,11.52273
27.19,1.441,11.53714
27.2,1.441,11.55155
27.21,1.441,11.56596
27.21,1.441,11.56596
27.22,1.441,11.58037
27.23,1.441,11.59478
27.24,1.441,11.60919
27.25,1.441,11.6236
27.26,1.441,11.63801
27.26,1.441,11.63801
27.27,1.442,11.65243
27.28,1.442,11.66685
27.29,1.442,11.68127
27.3,1.442,11.69569
27.31,1.442,11.71011
27.31,1.442,11.71011
27.32,1.442,11.72453
27.33,1.442,11.73895
27.34,1.442,11.75337
27.35,1.442,11.76779
27.36,1.442,11.78221
27.36,1.442,11.78221
27.37,1.442,11.79663
27.38,1.443,11.81106
27.39,1.443,11.82549
27.4,1.443,11.83992
27.41,1.443,11.85435
27.41,1.443,11.85435
27.42,1.443,11.86878
27.43,1.443,11.88321
27.44,1.443,11.89764
27.45,1.443,11.91207
27.46,1.443,11.9265
27.46,1.443,11.9265
27.47,1.443,11.94093
27.48,1.444,11.95537
27.49,1.444,11.96981
27.5,1.444,11.98425
27.51,1.444,11.99869
27.51,1.444,11.99869
27.52,1.444,12.01313
27.53,1.444,12.02757
27.54,1.444,12.04201
27.55,1.445,12.05646
27.56,1.445,12.07091
27.57,1.445,12.08536
27.57,1.445,12.08536
27.58,1.445,12.09981
27.59,1.445,12.11426
27.6,1.445,12.12871
27.61,1.445,12.14316
27.61,1.446,12.14316
27.62,1.446,12.15762
27.63,1.446,12.17208
27.64,1.446,12.18654
27.65,1.446,12.201
27.66,1.447,12.21547
27.66,1.447,12.21547
27.67,1.447,12.22994
27.68,1.447,12.24441
27.69,1.447,12.25888
27.7,1.447,12.27335
27.71,1.447,12.28782
27.71,1.447,12.28782
27.72,1.447,12.30229
27.73,1.447,12.31676
27.74,1.447,12.33123
27.75,1.447,12.3457
27.76,1.447,12.36017
27.76,1.447,12.36017
27.77,1.447,12.37464
27.78,1.447,12.38911
27.79,1.447,12.40358
27.8,1.447,12.41805
27.81,1.447,12.43252
27.81,1.447,12.43252
27.82,1.447,12.44699
27.83,1.447,12.46146
27.84,1.448,12.47594
27.85,1.448,12.49042
27.86,1.448,12.5049
27.87,1.448,12.51938
27.87,1.448,12.51938
27.88,1.448,12.53386
27.89,1.448,12.54834
27.9,1.448,12.56282
27.91,1.448,12.5773
27.91,1.448,12.5773
27.92,1.448,12.59178
27.93,1.449,12.60627
27.94,1.449,12.62076
27.95,1.449,12.63525
27.96,1.449,12.64974
27.96,1.449,12.64974
27.97,1.449,12.66423
27.98,1.449,12.67872
27.99,1.449,12.69321
28,1.45,12.70771
28.01,1.45,12.72221
28.01,1.45,12.72221
28.02,1.45,12.73671
28.03,1.45,12.75121
28.04,1.451,12.76572
28.05,1.451,12.78023
28.06,1.451,12.79474
28.06,1.45,12.79474
28.07,1.45,12.80924
28.08,1.45,12.82374
28.09,1.45,12.83824
28.1,1.45,12.85274
28.11,1.45,12.86724
28.11,1.45,12.86724
28.12,1.45,12.88174
28.13,1.45,12.89624
28.14,1.45,12.91074
28.15,1.45,12.92524
28.15,1.45,12.92524
28.16,1.45,12.93974
28.17,1.45,12.95424
28.18,1.45,12.96874
28.19,1.45,12.98324
28.2,1.451,12.99775
28.21,1.451,13.01226
28.21,1.451,13.01226
28.22,1.451,13.02677
28.23,1.451,13.04128
28.24,1.451,13.05579
28.25,1.451,13.0703
28.26,1.451,13.08481
28.26,1.451,13.08481
28.27,1.451,13.09932
28.28,1.451,13.11383
28.29,1.451,13.12834
28.3,1.451,13.14285
28.31,1.451,13.15736
28.31,1.451,13.15736
28.32,1.452,13.17188
28.33,1.452,13.1864
28.34,1.452,13.20092
