Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
20.09,1.44,11.39306
20.1,1.44,11.40746
20.11,1.44,11.42186
20.11,1.441,11.42186
20.12,1.441,11.43627
20.13,1.441,11.45068
20.14,1.441,11.46509
20.15,1.441,11.4795
20.16,1.441,11.49391
20.17,1.441,11.50832
20.17,1.441,11.50832
20.18,1.441,11.52273
20.19,1.441,11.53714
20.2,1.441,11.55155
20.21,1.441,11.56596
20.21,1.441,11.56596
20.22,1.441,11.58037
20.23,1.441,11.59478
20.24,1.441,11.60919
20.25,1.441,11.6236
20.26,1.441,11.63801
20.26,1.441,11.63801
20.27,1.442,11.65243
20.28,1.442,11.66685
20.29,1.442,11.68127
20.3,1.442,11.69569
20.31,1.442,11.71011
20.31,1.442,11.71011
20.32,1.442,11.72453
20.33,1.442,11.73895
20.34,1.442,11.75337
20.35,1.442,11.76779
20.36,1.442,11.78221
20.36,1.442,11.78221
20.37,1.442,11.79663
20.38,1.443,11.81106
20.39,1.443,11.82549
20.4,1.443,11.83992
20.41,1.443,11.85435
20.41,1.443,11.85435
20.42,1.443,11.86878
20.43,1.443,11.88321
20.44,1.443,11.89764
20.45,1.443,11.91207
20.46,1.443,11.9265
20.46,1.443,11.9265
20.47,1.443,11.94093
20.48,1.444,11.95537
20.49,1.444,11.96981
20.5,1.444,11.98425
20.51,1.444,11.99869
20.51,1.444,11.99869
20.52,1.444,12.01313
20.53,1.444,12.02757
20.54,1.444,12.04201
20.55,1.445,12.05646
20.56,1.445,12.07091
20.57,1.445,12.08536
20.57,1.445,12.08536
20.58,1.445,12.09981
20.59,1.445,12.11426
20.6,1.445,12.12871
20.61,1.445,12.14316
20.61,1.446,12.14316
20.62,1.446,12.15762
20.63,1.446,12.17208
20.64,1.446,12.18654
20.65,1.446,12.201
20.66,1.447,12.21547
20.66,1.447,12.21547
20.67,1.447,12.22994
20.68,1.447,12.24441
20.69,1.447,12.25888
20.7,1.447,12.27335
20.71,1.447,12.28782
20.71,1.447,12.28782
20.72,1.447,12.30229
20.73,1.447,12.31676
20.74,1.447,12.33123
20.75,1.447,12.3457
20.76,1.447,12.36017
20.76,1.447,12.36017
20.77,1.447,12.37464
20.78,1.447,12.38911
20.79,1.447,12.40358
20.8,1.447,12.41805
20.81,1.447,12.43252
20.81,1.447,12.43252
20.82,1.447,12.44699
20.83,1.447,12.46146
20.84,1.448,12.47594
20.85,1.448,12.49042
20.86,1.448,12.5049
20.87,1.448,12.51938
20.87,1.448,12.51938
20.88,1.448,12.53386
20.89,1.448,12.54834
20.9,1.448,12.56282
20.91,1.448,12.5773
20.91,1.448,12.5773
20.92,1.448,12.59178
20.93,1.449,12.60627
20.94,1.449,12.62076
20.95,1.449,12.63525
20.96,1.449,12.64974
20.96,1.449,12.64974
20.97,1.449,12.66423
20.98,1.449,12.67872
20.99,1.449,12.69321
21,1.45,12.70771
21.01,1.45,12.72221
21.01,1.45,12.72221
21.02,1.45,12.73671
21.03,1.45,12.75121
21.04,1.451,12.76572
21.05,1.451,12.78023
21.06,1.451,12.79474
21.06,1.45,12.79474
21.07,1.45,12.80924
21.08,1.45,12.82374
21.09,1.45,12.83824
21.1,1.45,12.85274
21.11,1.45,12.86724
21.11,1.45,12.86724
21.12,1.45,12.88174
21.13,1.45,12.89624
