Temp (K) ,cp (J/g-K),Enthalpy (J/g)
320.55,3.294644214,63.04042994
320.65,3.370338363,63.37746378
320.75,3.472019231,63.7246657
320.85,3.567109454,64.08137665
320.95,3.665255857,64.44790223
321.05,3.785642546,64.82646649
321.15,3.904936786,65.21696017
321.25,4.029057363,65.6198659
321.35,4.164227429,66.03628865
321.45,4.305343454,66.46682299
321.55,4.451916286,66.91201462
321.65,4.618761909,67.37389081
321.75,4.781574714,67.85204828
321.85,4.968425,68.34889078
321.95,5.160827693,68.86497355
322.05,5.369069,69.40188045
322.15,5.600100929,69.96189054
322.25,5.8281635,70.54470689
322.35,6.095963643,71.15430326
322.45,6.355384728,71.78984173
322.55,6.6434294,72.45418467
322.65,6.948969909,73.14908166
322.75,7.2782102,73.87690268
322.85,7.64703425,74.64160611
322.95,8.009166286,75.44252274
323.05,8.41302875,76.28382561
323.15,8.855787803,77.16940439
323.25,9.323963753,78.10180077
323.35,9.8387048,79.08567125
323.45,10.36826075,80.12249732
323.55,10.9692128,81.2194186
323.65,11.62291838,82.38171044
323.75,12.3533876,83.6170492
323.85,13.15340507,84.93238971
323.95,14.05125256,86.33751496
324.05,15.10258493,87.84777346
324.15,16.33353923,89.48112738
324.25,17.75658315,91.25678569
324.35,19.43363953,93.20014965
324.45,21.614402,95.36158985
324.55,24.320516,97.79364145
324.65,27.603695,100.5540109
324.75,31.93951443,103.7479624
324.85,37.28655153,107.4766175
324.95,43.11436035,111.7880536
325.05,49.5502535,116.7430789
325.15,56.52458819,122.3955377
325.25,63.463565,128.7418942
325.35,71.301636,135.8720578
325.45,77.60390641,143.6324485
325.55,83.82570243,152.0150187
325.65,87.12310742,160.7273295
325.75,88.06632154,169.5339616
325.85,84.44365355,177.978327
325.95,74.15112096,185.3934391
326.05,64.75492471,191.8689315
326.15,56.6329196,197.5322235
326.25,49.6917065,202.5013942
326.35,45.09242954,207.0106371
326.45,40.719485,211.0825856
326.55,35.49926818,214.6325124
326.65,30.80218588,217.712731
326.75,27.3306656,220.4457976
326.85,24.57019775,222.9028174
326.95,22.4286077,225.1456781
327.05,19.513253,227.0970034
327.15,17.131151,228.8101185
327.25,14.8047932,230.2905978
327.35,12.206243,231.5112221
327.45,10.095329,232.520755
327.55,8.86745,233.4075
327.65,7.9362875,234.2011288
327.75,7.163318,234.9174606
327.85,6.5242685,235.5698874
327.95,5.9135096,236.1612384
328.05,5.3692085,236.6981593
328.15,4.95301025,237.1934603
328.25,4.5773228,237.6511926
328.35,4.245536,238.0757462
328.45,4.0065725,238.4764034
328.55,3.7816985,238.8545733
328.65,3.5866496,239.2132382
328.75,3.431732857,239.5564115
328.85,3.3062546,239.887037
328.95,3.200601286,240.2070971
329.05,3.0797345,240.5150705
329.15,3.00008,240.8150785
329.25,2.891987429,241.1042773
329.35,2.78727275,241.3830046
329.45,2.695651143,241.6525697
329.55,2.59088,241.9116577
329.65,2.48720825,242.1603785
329.75,2.392883,242.3996668
329.85,2.289188,242.6285856
329.95,2.1825821,242.8468438
330.05,2.093702,243.056214
330.15,2.000017182,243.2562157
330.25,1.919234,243.4481391
330.35,1.848063637,243.6329455
330.45,1.7819102,243.8111365
330.55,1.712216,243.9823581
330.65,1.6511708,244.1474752
330.75,1.602848,244.30776
330.85,1.5602726,244.4637873
330.95,1.519233846,244.6157106
331.05,1.4938148,244.7650921
331.15,1.460515077,244.9111436
331.25,1.430705,245.0542141
331.35,1.423751462,245.1965893
331.45,1.4050928,245.3370985
331.55,1.392203,245.4763188
331.65,1.375386909,245.6138575
331.75,1.372694462,245.751127
331.85,1.363668909,245.8874939
331.95,1.359173693,246.0234112
332.05,1.3563794,246.1590492
332.15,1.354409231,246.2944901
332.25,1.349972546,246.4294874
332.35,1.345910462,246.5640784
332.45,1.342667818,246.6983452
332.55,1.340437769,246.832389
332.65,1.337721909,246.9661612
332.75,1.333484231,247.0995096
332.85,1.330569363,247.2325665
332.95,1.328204693,247.365387
333.05,1.325851728,247.4979722
333.15,1.324792307,247.6304514
333.25,1.322503728,247.7627018
333.35,1.320414154,247.8947432
333.45,1.319384,248.0266816
333.55,1.316873,248.1583689
333.65,1.315579454,248.2899268
333.75,1.314233231,248.4213501
333.85,1.312003182,248.5525505
333.95,1.311207154,248.6836712
334.05,1.310177,248.8146889
334.15,1.308438615,248.9455327
334.25,1.306296363,249.0761624
334.35,1.305412538,249.2067036
334.45,1.304241909,249.3371278
334.55,1.303094693,249.4674373
334.65,1.302720091,249.5977093
334.75,1.30097,249.7278063
334.85,1.300285182,249.8578348
334.95,1.299682307,249.9878031
335.05,1.298915546,250.1176946
335.15,1.298716538,250.2475663
335.25,1.298154637,250.3773817
335.35,1.296785,250.5070602
335.45,1.296480637,250.6367083
335.55,1.295690462,250.7662773
335.65,1.295339272,250.8958113
335.75,1.295111,251.0253224
335.85,1.294958818,251.1548182
335.95,1.293565769,251.2841748
336.05,1.292828272,251.4134576
336.15,1.2926,251.5427176
336.25,1.291686909,251.6718863
336.35,1.291247923,251.8010111
336.45,1.289936818,251.9300048
336.55,1.290153385,252.0590202
336.65,1.289252,252.1879454
336.75,1.288672538,252.3168126
336.85,1.287958454,252.4456084
336.95,1.288221846,252.5744306
337.05,1.288034546,252.7032341
337.15,1.287964307,252.8320305
337.25,1.287730182,252.9608035
337.35,1.287964307,253.0896
337.45,1.287806272,253.2183806
337.55,1.287899923,253.3471706
337.65,1.286893182,253.4758599
337.75,1.286934154,253.6045533
337.85,1.286360546,253.7331894
337.95,1.286354693,253.8618248
338.05,1.285599637,253.9903848
338.15,1.285517693,254.1189366
338.25,1.28423,254.2473596
338.35,1.284101231,254.3757697
338.45,1.283697363,254.5041394
338.55,1.283908077,254.6325302
338.65,1.284001728,254.7609304
338.75,1.283135462,254.889244
338.85,1.282479909,255.017492
338.95,1.282427231,255.1457347
339.05,1.282023363,255.273937
339.15,1.281203923,255.4020574
339.25,1.281566818,255.5302141
339.35,1.281268307,255.6583409
339.45,1.281262454,255.7864672
339.55,1.280817615,255.9145489
339.65,1.280273272,256.0425763
339.75,1.280560077,256.1706323
339.85,1.280577637,256.29869
339.95,1.279723077,256.4266623
340.05,1.280045,256.5546668
340.15,1.280495693,256.6827164
340.25,1.280349363,256.8107513
340.35,1.280238154,256.9387752
340.45,1.280653728,257.0668405
340.55,1.280045,257.194845
340.65,1.280273272,257.3228724
340.75,1.280045,257.4508769
340.85,1.280045,257.5788814
340.95,1.280238154,257.7069052
341.05,1.279208,257.834826
341.15,1.278628538,257.9626888
341.25,1.278371,258.0905259
341.35,1.278950462,258.218421
341.45,1.278142728,258.3462352
341.55,1.279208,258.474156
341.65,1.278903637,258.6020464
341.75,1.279208,258.7299672
341.85,1.278979728,258.8578652
341.95,1.278692923,258.9857345
342.05,1.278371,259.1135716
342.15,1.278499769,259.2414215
342.25,1.278599272,259.3692815
342.35,1.277147693,259.4969962
342.45,1.277610091,259.6247573
342.55,1.277212077,259.7524785
342.65,1.277838363,259.8802623
342.75,1.277018923,260.0079642
342.85,1.276468728,260.1356111
342.95,1.276632615,260.2632743
343.05,1.276316546,260.390906
343.15,1.276053154,260.5185113
343.25,1.27586,260.6460973
343.35,1.277147693,260.7738121
343.45,1.276697,260.9014818
343.55,1.276310693,261.0291128
343.65,1.276012182,261.1567141
343.75,1.275731231,261.2842872
343.85,1.275631728,261.4118503
343.95,1.275795615,261.5394299
344.05,1.274338182,261.6668637
344.15,1.274958615,261.7943596
