Temp (K) ,cp (J/g-C),Enthalpy (J/g)
357.05,1.2441125,281.3678357
357.15,1.243196428,281.4921553
357.25,1.2430865,281.616464
357.35,1.2424025,281.7407042
357.45,1.2427445,281.8649787
357.55,1.24283,281.9892617
357.65,1.24283,282.1135447
357.75,1.242585715,282.2378032
357.85,1.2427445,282.3620777
357.95,1.241975,282.4862752
358.05,1.241975,282.6104727
358.15,1.241975,282.7346702
358.25,1.2412055,282.8587907
358.35,1.241608572,282.9829516
358.45,1.2415475,283.1071063
358.55,1.2415475,283.2312611
358.65,1.2405215,283.3553132
358.75,1.240326072,283.4793458
358.85,1.2403505,283.6033809
358.95,1.240753572,283.7274562
359.05,1.240653636,283.8515216
359.15,1.240856923,283.9756073
359.25,1.24112,284.0997193
359.35,1.240509285,284.2237702
359.45,1.240265,284.3477967
359.55,1.239804615,284.4717772
359.65,1.2396665,284.5957438
359.75,1.240509285,284.7197948
359.85,1.240265,284.8438213
359.95,1.239936154,284.9678149
360.05,1.239332273,285.0917481
360.15,1.23941,285.2156891
360.25,1.23941,285.3396301
360.35,1.239081154,285.4635382
360.45,1.239099091,285.5874481
360.55,1.239146923,285.7113628
360.65,1.238710454,285.8352339
360.75,1.237897307,285.9590236
360.85,1.2377,286.0827936
360.95,1.2377,286.2065636
361.05,1.2377,286.3303336
361.15,1.238489231,286.4541825
361.25,1.2377,286.5779525
361.35,1.236845,286.701637
361.45,1.236845,286.8253215
