Temp (K) ,cp (J/g-K),Enthalpy (J/g)
321.85,3.975,69.50050952
321.95,4.112923077,69.91180183
322.05,4.2622,70.33802183
322.15,4.427814286,70.78080326
322.25,4.5913,71.23993326
322.35,4.783271428,71.7182604
322.45,4.969236364,72.21518404
322.55,5.17572,72.73275604
322.65,5.394745455,73.27223058
322.75,5.63076,73.83530658
322.85,5.89515,74.42482158
322.95,6.154742857,75.04029587
323.05,6.44425,75.68472087
323.15,6.761640002,76.36088487
323.25,7.097250002,77.07060987
323.35,7.46624,77.81723387
323.45,7.845849998,78.60181887
323.55,8.276640002,79.42948287
323.65,8.745246152,80.30400748
323.75,9.26888,81.23089548
323.85,9.842369228,82.21513241
323.95,10.4859875,83.26373116
324.05,11.23963077,84.38769423
324.15,12.12203529,85.59989776
324.25,13.14213846,86.91411161
324.35,14.34432941,88.34854455
324.45,15.9076,89.93930455
324.55,17.84746666,91.72405122
324.65,20.201,93.74415122
324.75,23.30911429,96.07506264
324.85,27.14211579,98.78927422
324.95,31.31975652,101.9212499
325.05,35.9333,105.5145799
325.15,40.93282308,109.6078622
325.25,45.907,114.1985622
325.35,51.52568889,119.3511311
325.45,56.04344545,124.9554756
325.55,60.50351428,131.005827
325.65,62.86724546,137.2925516
325.75,63.54338462,143.6468901
325.85,60.94649,149.7415391
325.95,53.56833043,155.0983721
326.05,46.83270588,159.7816427
326.15,41.01048,163.8826907
326.25,36.0347,167.4861607
326.35,32.73772727,170.7599334
326.45,29.603,173.7202334
326.55,25.86090909,176.3063243
326.65,22.493825,178.5557068
326.75,20.00528,180.5562348
326.85,18.02645,182.3588798
326.95,16.49126,184.0080058
327.05,14.4014,185.4481458
327.15,12.6938,186.7175258
327.25,11.02616,187.8201418
327.35,9.1634,188.7364818
327.45,7.6502,189.5015018
327.55,6.77,190.1785018
327.65,6.1025,190.7887518
327.75,5.5484,191.3435918
327.85,5.0903,191.8526218
327.95,4.65248,192.3178698
328.05,4.2623,192.7440998
328.15,3.96395,193.1404948
328.25,3.69464,193.5099588
328.35,3.4568,193.8556388
328.45,3.2855,194.1841888
328.55,3.1243,194.4966188
328.65,2.98448,194.7950668
328.75,2.873428572,195.0824097
328.85,2.78348,195.3607577
328.95,2.707742857,195.631532
329.05,2.6211,195.893642
329.15,2.564,196.150042
329.25,2.486514286,196.3986934
329.35,2.41145,196.6398384
329.45,2.345771428,196.8744155
329.55,2.270666667,197.1014822
329.65,2.19635,197.3211172
329.75,2.128733334,197.5339905
329.85,2.0544,197.7394305
329.95,1.97798,197.9372285
330.05,1.914266667,198.1286552
330.15,1.847109091,198.3133661
330.25,1.7892,198.4922861
330.35,1.738181818,198.6661043
330.45,1.69076,198.8351803
330.55,1.6408,198.9992603
330.65,1.59704,199.1589643
330.75,1.5624,199.3152043
330.85,1.53188,199.4683923
330.95,1.502461539,199.6186384
331.05,1.48424,199.7670624
331.15,1.460369231,199.9130994
331.25,1.439,200.0569994
331.35,1.434015385,200.2004009
331.45,1.42064,200.3424649
331.55,1.4114,200.4836049
331.65,1.399345455,200.6235395
331.75,1.397415385,200.763281
331.85,1.390945455,200.9023755
331.95,1.387723077,201.0411478
332.05,1.38572,201.1797198
332.15,1.384307692,201.3181506
